iteration,disease,resident,E.A,E.P,e.A,e.P,s,b.A,b.P,Y.A,y.1,Y.P,g.A,g.P,l.A,l.P,L.A,L.P,beta.A,beta.P,ann_invades,per_invades,per_viable,outcome,litter_producer,litter_tolerator,iterationF,ann_rel_abund,per_rel_abund,eq_litter,Resident
33,without disease,E. virginicus,0.2116463943769123,0.186146846998915,0.2193154355225167,0.21999992822824488,0.9716743064415406,17.143956658429953,2.201769395705811,24.70521185553806,9.734432219652673,0.5027301909141968,0.7408204545398678,0.22706533016042418,168.99661247970596,47.60925060314495,17909.96763496022,519.3533713378044,6.976976151412662e-5,3.5017050599212956e-4,1,0,1,M. vimineum only,Producer: M. vimineum,Tolerant: E. virginicus,33,0.999999999999668,3.319882408661289e-13,519.3533713351719,Resident: E. virginicus
34,without disease,E. virginicus,0.02937482316257995,0.05777684121692519,0.2197101250637855,0.21999795043595782,0.4703031923531949,18.821477921595953,3.079735991835018,9.479643227542162,0.0011739647757018493,69.14018697895571,0.6937057166024081,0.12670672820269613,186.5852750541312,469.0456521979152,3362.4798681208035,1723.226599984357,0.003760119908811648,0.0016293379852054105,0,1,1,E. virginicus only,Producer: M. vimineum,Tolerant: M. vimineum,34,0,1,1723.2265999843576,Resident: E. virginicus
35,without disease,E. virginicus,0.1577407217466725,0.20131704002710762,0.2142519540253209,0.21968785189348844,0.9609528971532586,9.988971933057375,2.978026669377436,13.789379475184948,0.10417456176192481,2.6348178151690265,0.7700687012370744,0.06970753412013041,117.81630952520938,54.407634528596766,5159.0800653458045,867.894676188479,4.127850212440358e-4,1.0514310279003724e-4,1,0,1,M. vimineum only,Producer: M. vimineum,Tolerant: M. vimineum,35,0.9961849510715162,0.003815048928483884,867.8946761714494,Resident: E. virginicus
36,without disease,E. virginicus,1.6713659316815955e-7,1.4692642483310842e-9,0.21980220825918967,0.2190767674187525,0.952128300797272,16.47808105185707,2.8113453867597964,2.2535594699586342e-7,40420380861361790,1.1596078450322163e-8,0.7600926493919904,0.07448567968209042,265.519488568013,54521764790388616,42469.02375640177,27695401845.140003,1.0456328310709386e-5,0.001185537908561363,0,1,1,E. virginicus only,Producer: E. virginicus,Tolerant: E. virginicus,36,0,1,125771130522.12447,Resident: E. virginicus
37,without disease,E. virginicus,0.029159540197476345,0.15017921070208023,0.2139156628279087,0.2198870984979042,0.99,14.125600193592694,4.370724274893436,9.927709668383354,0.008282733677933312,1.2929178338505591,0.7832079101796173,0.049063686138762254,234.30910912150608,199.61177826949077,4761.910517467306,3592.1113933829847,0.0017645686223295113,1.292684348297377e-4,0,1,1,E. virginicus only,Producer: M. vimineum,Tolerant: M. vimineum,37,0,1,3590.7040831398735,Resident: E. virginicus
38,without disease,E. virginicus,0.02397551036155297,0.042685269972611045,0.21999571222941042,0.2199982302241614,0.980984138737059,18.70210350239433,5.0199479768910225,0.7458839228111874,0.001113913722332889,8.511240647082936,0.7800369486968699,0.04985103901287623,53.73367937891375,2092.1498497550533,3770.4146256965823,12276.658523118413,6.659671319250349e-4,3.3836253655829886e-4,0,1,1,E. virginicus only,Producer: E. virginicus,Tolerant: M. vimineum,38,0,1,12276.658517740168,Resident: E. virginicus
39,without disease,E. virginicus,0.16211755527516822,0.14226677832171078,0.21806338716647533,0.2199335112714401,0.99,17.150854896352847,5.229745718174934,13.718912510931599,0.3140474470527304,1.9756670983409712,0.7796690431219411,0.03371689989370832,241.39511970598957,154.53999293382864,18798.651217930055,3143.203351639959,1.0982364622538738e-4,1.737359560761403e-4,1,0,1,M. vimineum only,Producer: M. vimineum,Tolerant: E. virginicus,39,0.9992379110683007,7.620889316992853e-4,3142.2579343758434,Resident: E. virginicus
40,without disease,E. virginicus,0.040566720504040366,0.09663564597924247,0.21996683859647537,0.21993593441744094,0.9725490231153336,16.04167606011305,5.4311249083133735,5.142336791953318,0.0243603047574224,2.0543979353632205,0.7751647090197831,0.13216901122877886,287.5600056613103,721.150785477019,11075.728342601815,10306.324668030844,4.290906046113312e-4,1.238006483234002e-4,0,1,1,E. virginicus only,Producer: M. vimineum,Tolerant: M. vimineum,40,0,1,10306.324667996552,Resident: E. virginicus
41,without disease,E. virginicus,0.15658452188925695,0.2018412471774708,0.2198206935247506,0.21996958095755526,0.9361195326117089,13.789743080059578,4.622579573352552,31.46699444787439,0.060213032955646915,3.4753604107482903,0.7900245268275033,0.08612505525499116,157.1665335755601,30.19954193215635,6455.020942432802,725.3936971992689,5.567278679652465e-4,1.2381526458898507e-4,1,0,1,M. vimineum only,Producer: M. vimineum,Tolerant: M. vimineum,41,0.9999999999999951,4.931032317666696e-15,725.393697199268,Resident: E. virginicus
42,without disease,E. virginicus,0.21996596962127674,0.21998181015922308,0.21996596962127674,0.21998181015922308,5.37131029528073e-5,17.789837777546513,4.218734384126139,639.4336400794756,0.04714246796917084,49.47556758964941,0.7680951967063595,0.05343163871611922,133.92559037964014,0.7648603920254354,6023.9805341750325,-3.71540028572781,7.223477466088944e-4,6.896667340503116e-6,1,0,0,M. vimineum only,Producer: M. vimineum,Tolerant: M. vimineum,42,1,0,4.4188783170758255e-35,Resident: E. virginicus
